company_name,ratings,rating_count,highly_rated,critical_rated,location,salaries,interviews,jobs,benefits
Subway,4.2,370,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Hospitality | New Delhi +66 other locations,NaN,NaN,NaN,NaN
TMF Group,3.7,370,Work Life Balance,"Promotions, Salary, Work Satisfaction",Financial Services | Pune +13 other locations,NaN,NaN,NaN,NaN
Amoli Organics,3.7,370,Work Life Balance,Promotions,Pharma | Vadodara +15 other locations,NaN,NaN,NaN,NaN
WPP,2.8,370,NaN,"Promotions, Work Satisfaction, Skill Development",Marketing & Advertising | Mumbai +11 other locations,NaN,NaN,NaN,NaN
Descon Engineering,4.0,370,"Salary, Work Life Balance, Skill Development",NaN,Engineering & Construction | Mumbai +28 other locations,NaN,NaN,NaN,NaN
Teachnook,2.8,370,NaN,"Salary, Work Life Balance, Work Satisfaction",EdTech | Bengaluru +20 other locations,NaN,NaN,NaN,NaN
ITSource Technologies,2.8,369,NaN,"Promotions, Company Culture, Salary",IT Services & Consulting | Mumbai +28 other locations,NaN,NaN,NaN,NaN
Caparo Maruti,4.1,369,"Work Life Balance, Job Security, Company Culture",NaN,Auto Components | Gurugram +20 other locations,NaN,NaN,NaN,NaN
INOX Air Products,4.1,370,"Job Security, Work Life Balance, Company Culture",Promotions,Oil & Gas | Pune +59 other locations,NaN,NaN,NaN,NaN
Rithwik Projects,3.9,372,Salary,Promotions,Engineering & Construction | Hyderabad +60 other locations,NaN,NaN,NaN,NaN
GTPL-KCBPL,4.0,369,"Company Culture, Work Life Balance, Job Security","Promotions, Salary",Telecom | Kolkata +36 other locations,NaN,NaN,NaN,NaN
Hollister Medical,4.0,369,"Company Culture, Work Life Balance, Job Security","Promotions, Salary",Medical Equipment | Rewari +12 other locations,NaN,NaN,NaN,NaN
Health India Tpa Services,3.2,369,NaN,"Promotions, Company Culture, Work Satisfaction",Insurance | Mumbai +33 other locations,NaN,NaN,NaN,NaN
Light Microfinance,3.8,368,"Salary, Work Life Balance",Job Security,NBFC | Ahmedabad +121 other locations,NaN,NaN,NaN,NaN
SEIL Energy India,4.0,368,"Job Security, Work Life Balance, Company Culture",Promotions,Power | Nellore +37 other locations,NaN,NaN,NaN,NaN
Hyundai Engineering and Construction,4.3,368,"Salary, Work Satisfaction, Skill Development",NaN,Engineering & Construction | Chennai +31 other locations,NaN,NaN,NaN,NaN
Tribhovandas Bhimji Zaveri,3.9,368,"Job Security, Work Life Balance, Salary",Promotions,Metals & Mining | Mumbai +34 other locations,NaN,NaN,NaN,NaN
Gujarat Alkalies & Chemicals,4.5,368,"Work Life Balance, Job Security, Company Culture",NaN,Chemicals | Bharuch +15 other locations,NaN,NaN,NaN,NaN
EXEDY,3.8,367,"Work Life Balance, Job Security","Promotions, Salary",Auto Components | Bengaluru +20 other locations,NaN,NaN,NaN,NaN
Time Technoplast,3.7,367,Job Security,"Promotions, Salary, Company Culture",Petrochemicals | Mumbai +35 other locations,NaN,NaN,NaN,NaN
Gufic Biosciences,3.2,368,NaN,"Promotions, Company Culture, Work Satisfaction",Pharma | Mumbai +37 other locations,NaN,NaN,NaN,NaN
Duroflex,3.9,367,NaN,"Promotions, Salary",Furniture & Furnishing | Bengaluru +49 other locations,NaN,NaN,NaN,NaN
SBI Payment Services,3.9,367,Work Life Balance,Promotions,Financial Services | Mumbai +125 other locations,NaN,NaN,NaN,NaN
Swiss Re,3.8,367,"Work Life Balance, Company Culture","Promotions, Job Security, Work Satisfaction",Insurance | Bengaluru +6 other locations,NaN,NaN,NaN,NaN
Vaibhav Global,3.2,367,NaN,"Promotions, Job Security, Company Culture",Jewellery | Jaipur +11 other locations,NaN,NaN,NaN,NaN
New Opportunity Consultancy,4.2,366,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Recruitment | Coimbatore +145 other locations,NaN,NaN,NaN,NaN
Tata Toyo Radiator,NaN,NaN,"Job Security, Skill Development","Promotions, Salary, Company Culture",Auto Components | Pune +11 other locations,NaN,NaN,NaN,NaN
Watchyourhealth.com,4.5,366,"Work Life Balance, Skill Development, Company Culture",NaN,Emerging Technologies | Thane +3 other locations,NaN,NaN,NaN,NaN
Syncfusion,3.4,366,Job Security,"Company Culture, Work Life Balance, Promotions",Software Product | Chennai +5 other locations,NaN,NaN,NaN,NaN
Tata Digital,2.3,366,NaN,"Promotions, Company Culture, Work Satisfaction",IT Services & Consulting | Mumbai +10 other locations,NaN,NaN,NaN,NaN
Hygienic Research Institute,3.8,366,"Work Life Balance, Company Culture, Salary","Promotions, Skill Development",Beauty & Personal Care | Mumbai +61 other locations,NaN,NaN,NaN,NaN
Treebo Hotels,3.2,366,NaN,"Job Security, Work Satisfaction, Promotions",Hospitality | Bengaluru +39 other locations,NaN,NaN,NaN,NaN
Avineon India,4.0,366,"Company Culture, Job Security, Work Life Balance",Promotions,IT Services & Consulting | Hyderabad +9 other locations,NaN,NaN,NaN,NaN
